Week,Flights,Hotels,Cars,Cruises
1,26035,6192,1616,261
2,23800,6345,1707,269
3,23477,6610,1719,265
4,23068,6247,1762,285
5,21508,5623,1700,305
6,21504,5664,1543,254
7,22225,5918,1580,304
8,22466,5653,1511,246
9,23946,5612,1612,305
10,25143,5675,1521,231
11,25086,5578,1504,282
12,23544,5480,1523,282
13,22174,5176,1615,335
14,23342,5364,1661,325
15,22563,5283,1687,360
16,22248,4913,1572,310
17,22309,4575,1310,356
18,23545,5105,1603,354
19,22314,4855,1616,238
20,23739,4477,1489,231
21,23072,4517,1370,210
22,24805,5410,1752,304
23,23587,5856,2073,332
24,23089,5900,2116,337
25,22020,5874,2038,309
26,20936,5716,1872,344
27,20897,5715,1964,289
28,22906,5995,1827,323
29,24010,6427,2041,338
30,23335,6448,2228,383
31,23147,6374,2240,321
32,24937,6586,2210,358
33,26868,6712,2495,363
34,25802,6506,2292,343
35,25194,6472,2458,282
36,24451,6251,2441,278
37,24157,6246,2355,278
38,24789,6201,2388,318
39,24468,6297,2502,298
40,24230,6265,2417,251
41,24195,6309,2503,292
42,25967,6489,2589,281
43,24895,6412,2597,307
44,26136,6386,2585,351
45,26525,6421,2515,275
46,28152,6726,2592,271
47,27613,6721,2551,303
48,26586,6471,2431,278
49,27143,6639,2496,316
50,28660,6835,2417,309
51,28120,6857,2250,325
52,20519,4465,1706,258
